article,person
130005023282,P00072
130005023282,P00073
130005023282,P00086
130005058791,P00001
130005089820,P00003
130005089820,P00001
130005089820,P00002
130005089820,P00007
130005089820,P00005
130005089820,P00006
130005118945,P00067
130005118945,P00001
130005118945,P00069
130005118945,P00070
130005118945,P00003
130005118945,P00103
130005118945,P00072
130005118945,P00105
130005118945,P00106
130005118945,P00074
130005118950,P00001
130005118950,P00002
130005118950,P00003
130005118950,P00072
130005118950,P00073
130005118950,P00114
130005148393,P00067
130005148393,P00001
130005148393,P00069
130005148393,P00070
130005148393,P00003
130005148393,P00115
130005148393,P00116
130005148393,P00117
130005148393,P00118
130005148393,P00119
130005164873,P00120
130005164873,P00001
130005164873,P00121
130005164873,P00122
130005164873,P00123
130005164873,P00124
130005164873,P00005
130005164873,P00125
130005164873,P00126
130005164873,P00127
130005396365,P00120
130005396365,P00122
130005396365,P00123
130005396365,P00121
130005396365,P00001
130005396365,P00124
130005396365,P00126
130005396365,P00127
130005396365,P00125
130005396365,P00005
130005399517,P00128
130005399517,P00001
130005399517,P00129
130005399517,P00072
130005966728,P00001
130005966728,P00069
130005966728,P00003
130005966728,P00130
130005966728,P00131
130005966728,P00055
130005966728,P00105
130005966728,P00074
130005966728,P00132
130005966728,P00133
130006234952,P00001
130006234952,P00005
130006415583,P00128
130006415583,P00001
130006415583,P00134
130006415583,P00129
130006415583,P00072
130006415583,P00135
130006730828,P00136
130006730828,P00001
130006730828,P00137
130006730828,P00072
130007421175,P00001
130007421175,P00002
130007421175,P00003
130007421312,P00027
130007421312,P00001
130007421312,P00002
130007421312,P00028
130007421312,P00003
130007421515,P00138
130007421515,P00001
130007421515,P00003
130007421553,P00001
130007421553,P00139
130007421599,P00140
130007421599,P00001
130007421599,P00003
130007421599,P00141
130007421599,P00005
130007421599,P00007
130007421872,P00140
130007421872,P00142
130007421872,P00143
130007421872,P00121
130007421872,P00001
130007421872,P00003
130007421892,P00144
130007421892,P00001
130007421892,P00002
130007421892,P00003
130007422089,P00128
130007422089,P00001
130007422089,P00134
130007422093,P00128
130007422093,P00001
130007422201,P00068
130007422201,P00087
130007422201,P00075
130007422201,P00001
130007422201,P00069
130007422201,P00070
130007422201,P00003
130007422235,P00001
130007422235,P00128
130007422235,P00003
130007422758,P00145
130007422758,P00001
130007422758,P00002
130007422758,P00003
130007422758,P00134
130007423235,P00146
130007423235,P00120
130007423235,P00001
130007423235,P00147
